2022-09-11 19:33:22,162 | INFO | werkzeug | Thread-20 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[37mGET /static/js/web_push.js HTTP/1.1[0m" 200 -
2022-09-11 19:33:22,166 | INFO | werkzeug | Thread-19 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[36mGET /static/js/install_prompt.js HTTP/1.1[0m" 304 -
2022-09-11 19:33:22,175 | INFO | werkzeug | Thread-21 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[36mGET /static/js/web_share.js HTTP/1.1[0m" 304 -
2022-09-11 19:33:22,230 | WARNING | app | Thread-22 | Organisation error 404 for: default
2022-09-11 19:33:22,235 | INFO | werkzeug | Thread-22 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:22,321 | WARNING | app | Thread-24 | Organisation error 404 for: default
2022-09-11 19:33:22,332 | INFO | werkzeug | Thread-24 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:22,335 | WARNING | app | Thread-23 | Organisation error 404 for: default
2022-09-11 19:33:22,343 | INFO | werkzeug | Thread-23 | 127.0.0.1 - - [11/Sep/2022 19:33:22] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:29,206 | INFO | werkzeug | Thread-25 | 127.0.0.1 - - [11/Sep/2022 19:33:29] "[36mGET /static/manifest.json HTTP/1.1[0m" 304 -
2022-09-11 19:33:29,306 | INFO | werkzeug | Thread-26 | 127.0.0.1 - - [11/Sep/2022 19:33:29] "[36mGET /static/images/icon.ico HTTP/1.1[0m" 304 -
2022-09-11 19:33:29,311 | INFO | werkzeug | Thread-27 | 127.0.0.1 - - [11/Sep/2022 19:33:29] "[36mGET /static/images/icon-192.png HTTP/1.1[0m" 304 -
2022-09-11 19:33:31,006 | INFO | werkzeug | Thread-28 | 127.0.0.1 - - [11/Sep/2022 19:33:31] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-11 19:33:36,872 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-11 19:33:36,872 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-11 19:33:37,502 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-11 19:33:37,502 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-11 19:33:37,620 | INFO | apscheduler.scheduler | Thread-1 | Scheduler started
2022-09-11 19:33:37,620 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:33:37,629 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:33:38,488 | INFO | werkzeug | Thread-30 | 127.0.0.1 - - [11/Sep/2022 19:33:38] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:33:38,561 | WARNING | app | Thread-33 | Organisation error 404 for: default
2022-09-11 19:33:38,564 | WARNING | app | Thread-34 | Organisation error 404 for: default
2022-09-11 19:33:38,565 | INFO | werkzeug | Thread-33 | 127.0.0.1 - - [11/Sep/2022 19:33:38] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:38,568 | INFO | werkzeug | Thread-34 | 127.0.0.1 - - [11/Sep/2022 19:33:38] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:38,576 | WARNING | app | Thread-31 | Organisation error 404 for: default
2022-09-11 19:33:38,580 | INFO | werkzeug | Thread-31 | 127.0.0.1 - - [11/Sep/2022 19:33:38] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:33:40,893 | INFO | werkzeug | Thread-35 | 127.0.0.1 - - [11/Sep/2022 19:33:40] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-11 19:34:09,973 | INFO | werkzeug | Thread-37 | 127.0.0.1 - - [11/Sep/2022 19:34:09] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-11 19:34:50,057 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:34:50,057 | INFO | my_app | MainThread | Logger created and ready!
2022-09-11 19:34:50,257 | INFO | apscheduler.scheduler | MainThread | Scheduler started
2022-09-11 19:34:50,257 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-11 19:34:50,275 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-11 19:34:51,478 | INFO | werkzeug | MainThread |  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-09-11 19:34:55,127 | INFO | werkzeug | Thread-39 | 127.0.0.1 - - [11/Sep/2022 19:34:55] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:34:55,242 | WARNING | app | Thread-40 | Organisation error 404 for: default
2022-09-11 19:34:55,244 | INFO | werkzeug | Thread-40 | 127.0.0.1 - - [11/Sep/2022 19:34:55] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:34:55,254 | WARNING | app | Thread-43 | Organisation error 404 for: default
2022-09-11 19:34:55,265 | INFO | werkzeug | Thread-43 | 127.0.0.1 - - [11/Sep/2022 19:34:55] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:34:55,271 | WARNING | app | Thread-42 | Organisation error 404 for: default
2022-09-11 19:34:55,279 | INFO | werkzeug | Thread-42 | 127.0.0.1 - - [11/Sep/2022 19:34:55] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:34:57,907 | INFO | werkzeug | Thread-44 | 127.0.0.1 - - [11/Sep/2022 19:34:57] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-11 19:34:59,318 | INFO | werkzeug | Thread-46 | 127.0.0.1 - - [11/Sep/2022 19:34:59] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:34:59,446 | WARNING | app | Thread-47 | Organisation error 404 for: default
2022-09-11 19:34:59,446 | WARNING | app | Thread-49 | Organisation error 404 for: default
2022-09-11 19:34:59,461 | INFO | werkzeug | Thread-49 | 127.0.0.1 - - [11/Sep/2022 19:34:59] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:34:59,461 | INFO | werkzeug | Thread-47 | 127.0.0.1 - - [11/Sep/2022 19:34:59] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:34:59,483 | WARNING | app | Thread-50 | Organisation error 404 for: default
2022-09-11 19:34:59,489 | INFO | werkzeug | Thread-50 | 127.0.0.1 - - [11/Sep/2022 19:34:59] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:01,138 | INFO | werkzeug | Thread-51 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,263 | INFO | werkzeug | Thread-52 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/pwacompat.min.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,298 | INFO | werkzeug | Thread-54 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/css/bootstrap.min.css HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,298 | INFO | werkzeug | Thread-55 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/helper_functions.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,309 | INFO | werkzeug | Thread-56 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/css/adminlte.min.css HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,335 | INFO | werkzeug | Thread-57 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/css/styles.css HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,502 | INFO | werkzeug | Thread-61 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/register_sw.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,505 | INFO | werkzeug | Thread-62 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/images/icon-512.png HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,514 | INFO | werkzeug | Thread-60 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/script.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,519 | INFO | werkzeug | Thread-58 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/jquery.min.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,554 | INFO | werkzeug | Thread-59 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/bootstrap.min.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,595 | WARNING | app | Thread-63 | Organisation error 404 for: default
2022-09-11 19:35:01,604 | INFO | werkzeug | Thread-63 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:01,659 | WARNING | app | Thread-64 | Organisation error 404 for: default
2022-09-11 19:35:01,667 | INFO | werkzeug | Thread-64 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:01,681 | WARNING | app | Thread-65 | Organisation error 404 for: default
2022-09-11 19:35:01,695 | INFO | werkzeug | Thread-65 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:01,708 | INFO | werkzeug | Thread-66 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/install_prompt.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,713 | INFO | werkzeug | Thread-68 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/web_share.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:01,722 | INFO | werkzeug | Thread-67 | 127.0.0.1 - - [11/Sep/2022 19:35:01] "[37mGET /static/js/web_push.js HTTP/1.1[0m" 200 -
2022-09-11 19:35:02,110 | INFO | werkzeug | Thread-69 | 127.0.0.1 - - [11/Sep/2022 19:35:02] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-11 19:35:07,351 | INFO | werkzeug | Thread-71 | 127.0.0.1 - - [11/Sep/2022 19:35:07] "[37mGET /static/images/icon.ico HTTP/1.1[0m" 200 -
2022-09-11 19:35:43,067 | INFO | werkzeug | Thread-72 | 127.0.0.1 - - [11/Sep/2022 19:35:43] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:35:43,272 | WARNING | app | Thread-73 | Organisation error 404 for: default
2022-09-11 19:35:43,277 | INFO | werkzeug | Thread-73 | 127.0.0.1 - - [11/Sep/2022 19:35:43] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:43,293 | WARNING | app | Thread-76 | Organisation error 404 for: default
2022-09-11 19:35:43,296 | WARNING | app | Thread-75 | Organisation error 404 for: default
2022-09-11 19:35:43,300 | INFO | werkzeug | Thread-76 | 127.0.0.1 - - [11/Sep/2022 19:35:43] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:43,303 | INFO | werkzeug | Thread-75 | 127.0.0.1 - - [11/Sep/2022 19:35:43] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:44,475 | INFO | werkzeug | Thread-77 | 127.0.0.1 - - [11/Sep/2022 19:35:44] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-11 19:35:44,608 | WARNING | app | Thread-81 | Organisation error 404 for: default
2022-09-11 19:35:44,626 | INFO | werkzeug | Thread-81 | 127.0.0.1 - - [11/Sep/2022 19:35:44] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:44,628 | WARNING | app | Thread-78 | Organisation error 404 for: default
2022-09-11 19:35:44,635 | WARNING | app | Thread-80 | Organisation error 404 for: default
2022-09-11 19:35:44,637 | INFO | werkzeug | Thread-78 | 127.0.0.1 - - [11/Sep/2022 19:35:44] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:44,645 | INFO | werkzeug | Thread-80 | 127.0.0.1 - - [11/Sep/2022 19:35:44] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-11 19:35:47,093 | INFO | werkzeug | Thread-82 | 127.0.0.1 - - [11/Sep/2022 19:35:47] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-13 22:02:53,952 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-13 22:02:53,951 | INFO | my_app | Thread-1 | Logger created and ready!
2022-09-13 22:03:00,235 | INFO | apscheduler.scheduler | Thread-1 | Scheduler started
2022-09-13 22:03:00,239 | DEBUG | apscheduler.scheduler | APScheduler | Looking for jobs to run
2022-09-13 22:03:00,255 | DEBUG | apscheduler.scheduler | APScheduler | No jobs; waiting until a job is added
2022-09-13 22:03:06,295 | INFO | werkzeug | Thread-4 | 127.0.0.1 - - [13/Sep/2022 22:03:06] "[37mGET / HTTP/1.1[0m" 200 -
2022-09-13 22:03:07,878 | INFO | werkzeug | Thread-7 | 127.0.0.1 - - [13/Sep/2022 22:03:07] "[36mGET /static/css/bootstrap.min.css HTTP/1.1[0m" 304 -
2022-09-13 22:03:07,887 | INFO | werkzeug | Thread-8 | 127.0.0.1 - - [13/Sep/2022 22:03:07] "[36mGET /static/js/helper_functions.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:07,897 | INFO | werkzeug | Thread-5 | 127.0.0.1 - - [13/Sep/2022 22:03:07] "[36mGET /static/js/pwacompat.min.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:07,986 | INFO | werkzeug | Thread-10 | 127.0.0.1 - - [13/Sep/2022 22:03:07] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
2022-09-13 22:03:07,992 | INFO | werkzeug | Thread-9 | 127.0.0.1 - - [13/Sep/2022 22:03:07] "[36mGET /static/css/adminlte.min.css HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,108 | INFO | werkzeug | Thread-12 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/bootstrap.min.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,121 | INFO | werkzeug | Thread-11 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/jquery.min.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,240 | INFO | werkzeug | Thread-14 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/register_sw.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,245 | INFO | werkzeug | Thread-13 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[37mGET /static/js/script.js HTTP/1.1[0m" 200 -
2022-09-13 22:03:08,270 | WARNING | app | Thread-16 | Organisation error 404 for: default
2022-09-13 22:03:08,276 | INFO | werkzeug | Thread-15 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/images/icon-512.png HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,290 | INFO | werkzeug | Thread-16 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:08,308 | WARNING | app | Thread-17 | Organisation error 404 for: default
2022-09-13 22:03:08,313 | INFO | werkzeug | Thread-17 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:08,324 | WARNING | app | Thread-18 | Organisation error 404 for: default
2022-09-13 22:03:08,329 | INFO | werkzeug | Thread-18 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:08,372 | INFO | werkzeug | Thread-19 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/install_prompt.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,382 | INFO | werkzeug | Thread-20 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/web_push.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:08,415 | INFO | werkzeug | Thread-21 | 127.0.0.1 - - [13/Sep/2022 22:03:08] "[36mGET /static/js/web_share.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:10,509 | INFO | werkzeug | Thread-22 | 127.0.0.1 - - [13/Sep/2022 22:03:10] "[36mGET /static/manifest.json HTTP/1.1[0m" 304 -
2022-09-13 22:03:10,589 | INFO | werkzeug | Thread-23 | 127.0.0.1 - - [13/Sep/2022 22:03:10] "[36mGET /static/images/icon-192.png HTTP/1.1[0m" 304 -
2022-09-13 22:03:12,276 | INFO | werkzeug | Thread-24 | 127.0.0.1 - - [13/Sep/2022 22:03:12] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:13,201 | INFO | werkzeug | Thread-26 | 127.0.0.1 - - [13/Sep/2022 22:03:13] "[36mGET /static/images/icon.ico HTTP/1.1[0m" 304 -
2022-09-13 22:03:20,545 | INFO | app | Thread-27 | Organisation changed: default
2022-09-13 22:03:20,591 | INFO | werkzeug | Thread-27 | 127.0.0.1 - - [13/Sep/2022 22:03:20] "[37mGET /users/login?organization=default HTTP/1.1[0m" 200 -
2022-09-13 22:03:20,676 | WARNING | app | Thread-28 | Organisation error 404 for: default
2022-09-13 22:03:20,681 | INFO | werkzeug | Thread-28 | 127.0.0.1 - - [13/Sep/2022 22:03:20] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:20,690 | WARNING | app | Thread-30 | Organisation error 404 for: default
2022-09-13 22:03:20,691 | WARNING | app | Thread-31 | Organisation error 404 for: default
2022-09-13 22:03:20,696 | INFO | werkzeug | Thread-30 | 127.0.0.1 - - [13/Sep/2022 22:03:20] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:20,698 | INFO | werkzeug | Thread-31 | 127.0.0.1 - - [13/Sep/2022 22:03:20] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:22,749 | INFO | werkzeug | Thread-32 | 127.0.0.1 - - [13/Sep/2022 22:03:22] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:25,995 | INFO | app | Thread-34 | Organisation changed: default
2022-09-13 22:03:26,026 | INFO | werkzeug | Thread-34 | 127.0.0.1 - - [13/Sep/2022 22:03:26] "[37mGET /users/register?organization=default HTTP/1.1[0m" 200 -
2022-09-13 22:03:26,097 | WARNING | app | Thread-37 | Organisation error 404 for: default
2022-09-13 22:03:26,097 | WARNING | app | Thread-35 | Organisation error 404 for: default
2022-09-13 22:03:26,107 | WARNING | app | Thread-38 | Organisation error 404 for: default
2022-09-13 22:03:26,106 | INFO | werkzeug | Thread-37 | 127.0.0.1 - - [13/Sep/2022 22:03:26] "[33mGET /dist/img/user8-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:26,107 | INFO | werkzeug | Thread-35 | 127.0.0.1 - - [13/Sep/2022 22:03:26] "[33mGET /dist/img/user1-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:26,112 | INFO | werkzeug | Thread-38 | 127.0.0.1 - - [13/Sep/2022 22:03:26] "[33mGET /dist/img/user3-128x128.jpg HTTP/1.1[0m" 404 -
2022-09-13 22:03:28,155 | INFO | werkzeug | Thread-39 | 127.0.0.1 - - [13/Sep/2022 22:03:28] "[36mGET /sw.js HTTP/1.1[0m" 304 -
2022-09-13 22:03:34,705 | INFO | app | Thread-41 | Organisation changed: default
